"date","dau","dau_alt"
2016-01-14,265128,251647
2016-01-15,301950,287479
2016-01-16,312209,296780
2016-01-17,325096,309610
2016-01-18,320801,305676
2016-01-19,321123,305901
2016-01-20,323176,307501
2016-01-21,325514,309667
2016-01-22,332116,315539
2016-01-23,341968,324994
2016-01-24,355773,338845
2016-01-25,347673,331138
2016-01-26,349999,333106
2016-01-27,351025,333659
2016-01-28,349029,331432
2016-01-29,349930,332020
2016-01-30,355519,337189
2016-01-31,366083,347849
2016-02-01,357414,339531
2016-02-02,357806,339780
2016-02-03,360020,341790
2016-02-04,359850,341875
2016-02-05,361399,342726
2016-02-06,371929,352653
2016-02-07,382012,362181
2016-02-08,381732,362304
2016-02-09,386798,367532
2016-02-10,391505,371888
2016-02-11,394764,375010
2016-02-12,400259,379785
2016-02-13,411212,390049
2016-02-14,420407,399610
2016-02-15,99607,90168
