"date","lvl","n"
2016-01-14,"1-25",53203
2016-01-14,"26-50",88287
2016-01-14,"51-75",46246
2016-01-14,"76-100",34316
2016-01-14,"101-125",20122
2016-01-14,"126-150",12608
2016-01-14,"151-175",4333
2016-01-14,"176-200",2294
2016-01-14,"201-225",2299
2016-01-14,"226-250",1035
2016-01-14,"251-275",118
2016-01-14,"276-300",69
2016-01-14,"301-325",198
2016-01-14,"326-350",0
2016-01-14,"351-375",0
2016-01-14,"376-400",0
2016-01-14,"401-425",0
2016-01-14,"426-450",0
2016-01-14,"451-475",0
2016-01-14,"476-500",0
2016-01-14,"501-525",0
2016-01-15,"1-25",58780
2016-01-15,"26-50",103587
2016-01-15,"51-75",52164
2016-01-15,"76-100",38692
2016-01-15,"101-125",22516
2016-01-15,"126-150",14325
2016-01-15,"151-175",4928
2016-01-15,"176-200",2648
2016-01-15,"201-225",2616
2016-01-15,"226-250",1232
2016-01-15,"251-275",122
2016-01-15,"276-300",88
2016-01-15,"301-325",237
2016-01-15,"326-350",15
2016-01-15,"351-375",0
2016-01-15,"376-400",0
2016-01-15,"401-425",0
2016-01-15,"426-450",0
2016-01-15,"451-475",0
2016-01-15,"476-500",0
2016-01-15,"501-525",0
2016-01-16,"1-25",61040
2016-01-16,"26-50",107783
2016-01-16,"51-75",53437
2016-01-16,"76-100",39615
2016-01-16,"101-125",22924
2016-01-16,"126-150",14820
2016-01-16,"151-175",5121
2016-01-16,"176-200",2839
2016-01-16,"201-225",2656
2016-01-16,"226-250",1413
2016-01-16,"251-275",134
2016-01-16,"276-300",109
2016-01-16,"301-325",205
2016-01-16,"326-350",113
2016-01-16,"351-375",0
2016-01-16,"376-400",0
2016-01-16,"401-425",0
2016-01-16,"426-450",0
2016-01-16,"451-475",0
2016-01-16,"476-500",0
2016-01-16,"501-525",0
2016-01-17,"1-25",62525
2016-01-17,"26-50",113745
2016-01-17,"51-75",55228
2016-01-17,"76-100",41293
2016-01-17,"101-125",23490
2016-01-17,"126-150",15413
2016-01-17,"151-175",5375
2016-01-17,"176-200",3110
2016-01-17,"201-225",2731
2016-01-17,"226-250",1598
2016-01-17,"251-275",128
2016-01-17,"276-300",125
2016-01-17,"301-325",177
2016-01-17,"326-350",158
2016-01-17,"351-375",0
2016-01-17,"376-400",0
2016-01-17,"401-425",0
2016-01-17,"426-450",0
2016-01-17,"451-475",0
2016-01-17,"476-500",0
2016-01-17,"501-525",0
2016-01-18,"1-25",57923
2016-01-18,"26-50",111816
2016-01-18,"51-75",55304
2016-01-18,"76-100",41886
2016-01-18,"101-125",23878
2016-01-18,"126-150",15872
2016-01-18,"151-175",5669
2016-01-18,"176-200",3333
2016-01-18,"201-225",2787
2016-01-18,"226-250",1746
2016-01-18,"251-275",141
2016-01-18,"276-300",127
2016-01-18,"301-325",151
2016-01-18,"326-350",168
2016-01-18,"351-375",0
2016-01-18,"376-400",0
2016-01-18,"401-425",0
2016-01-18,"426-450",0
2016-01-18,"451-475",0
2016-01-18,"476-500",0
2016-01-18,"501-525",0
2016-01-19,"1-25",56557
2016-01-19,"26-50",111482
2016-01-19,"51-75",55612
2016-01-19,"76-100",42232
2016-01-19,"101-125",24282
2016-01-19,"126-150",16255
2016-01-19,"151-175",5827
2016-01-19,"176-200",3566
2016-01-19,"201-225",2779
2016-01-19,"226-250",1942
2016-01-19,"251-275",154
2016-01-19,"276-300",126
2016-01-19,"301-325",149
2016-01-19,"326-350",160
2016-01-19,"351-375",0
2016-01-19,"376-400",0
2016-01-19,"401-425",0
2016-01-19,"426-450",0
2016-01-19,"451-475",0
2016-01-19,"476-500",0
2016-01-19,"501-525",0
2016-01-20,"1-25",56812
2016-01-20,"26-50",111454
2016-01-20,"51-75",55664
2016-01-20,"76-100",42841
2016-01-20,"101-125",24609
2016-01-20,"126-150",16515
2016-01-20,"151-175",6047
2016-01-20,"176-200",3744
2016-01-20,"201-225",2855
2016-01-20,"226-250",2050
2016-01-20,"251-275",158
2016-01-20,"276-300",130
2016-01-20,"301-325",144
2016-01-20,"326-350",153
2016-01-20,"351-375",0
2016-01-20,"376-400",0
2016-01-20,"401-425",0
