"lvl","n"
1,30617
2,27047
3,21778
4,15977
5,20135
6,14475
7,32239
8,39720
9,30601
10,16340
11,6404
12,10595
13,57906
14,12418
15,8865
16,26631
17,4399
18,10289
19,18628
20,16898
21,7098
22,7134
23,15714
24,14643
25,10437
26,140087
27,2581
28,4004
29,101133
30,1481
31,5935
32,41463
33,2259
34,1879
35,9846
36,2383
37,3950
38,1834
39,14365
40,2768
41,2285
42,1515
43,8614
44,1581
45,5499
46,1624
47,3758
48,7713
49,4899
50,3377
51,4002
52,13643
53,4319
54,2460
55,10117
56,2196
57,1313
58,4095
59,2211
60,2754
61,16555
62,4322
63,1238
64,3032
65,8445
66,1444
67,2219
68,3817
69,1512
70,5419
71,5156
72,915
73,4830
74,1976
75,5322
76,4143
77,1239
78,4276
79,2453
80,1867
81,4287
82,5964
83,1327
84,1034
85,3064
86,3214
87,3929
88,1047
89,5446
90,924
91,3191
92,2425
93,772
94,1122
95,21426
96,4822
97,1630
98,530
99,1206
100,3323
101,716
102,1798
103,1104
104,13063
105,668
106,1440
107,1296
108,758
109,7927
110,1550
111,729
112,2694
113,334
114,1219
115,799
116,644
117,2723
118,480
119,1066
120,3085
121,802
122,431
123,4933
124,590
125,879
126,3462
127,190
128,346
129,1315
130,343
131,495
132,1363
133,267
134,1147
135,1855
136,335
137,577
138,1274
139,1780
140,467
141,874
142,465
143,6267
144,423
145,212
146,313
147,6894
148,182
149,663
150,470
151,3026
152,479
153,495
154,317
155,651
156,165
157,386
158,849
159,278
160,493
161,257
162,464
163,598
164,145
165,2921
166,389
167,269
168,539
169,1473
170,199
171,268
172,319
173,132
174,118
175,238
176,1038
177,190
178,131
179,474
180,1698
181,106
182,472
183,137
184,805
185,329
186,306
187,425
188,397
189,80
190,699
191,175
192,153
193,563
194,219
195,99
196,241
197,701
198,160
199,102
200,151
201,44
202,69
203,540
204,284
205,226
206,147
207,102
208,283
209,127
210,174
211,136
212,147
213,174
214,328
215,83
216,142
217,145
218,173
219,127
220,320
221,112
222,170
223,125
224,570
225,564
226,255
227,459
228,920
229,65
230,175
231,287
232,415
233,504
234,312
235,701
236,108
237,307
238,148
239,189
240,227
241,540
242,388
243,985
244,288
245,354
246,462
247,162
248,414
249,215
250,459
251,104
252,73
253,80
254,89
255,21
256,58
257,41
258,71
259,91
260,25
261,192
262,44
263,35
264,39
265,27
266,43
267,35
268,23
269,26
270,27
271,17
272,44
273,145
274,25
275,22
276,14
277,38
278,25
279,39
280,6
281,15
282,40
283,16
284,22
285,12
286,17
287,22
288,6
289,9
290,10
291,8
292,20
293,11
294,24
295,11
296,14
297,17
298,66
299,9
300,19
301,9
302,13
303,13
304,21
305,4
306,4
307,43
308,16
309,8
310,11
311,18
312,20
313,68
314,13
315,1
316,3
317,6
318,13
319,2
320,14
321,7
322,10
323,5
324,18
325,18
326,2
327,9
328,12
329,16
330,5
331,15
332,6
333,6
334,10
335,7
336,6
337,10
338,9
339,4
340,10
341,52
342,9
343,1
344,3
345,6
346,20
347,6
348,12
349,24
350,11
351,11
352,2
353,1
354,4
355,8
356,7
357,7
358,7
359,6
360,5
361,6
362,8
363,8
364,8
365,17
366,4
367,4
368,4
369,7
370,1
371,6
372,1
373,10
374,6
375,10
376,8
377,8
378,1
379,4
380,1
381,10
382,3
383,9
384,2
385,4
386,20
387,4
388,1
389,4
390,2
391,2
392,15
393,6
394,0
395,9
396,4
397,2
398,9
399,8
400,12
401,4
402,2
403,6
404,11
405,6
406,6
407,8
408,5
409,14
410,2
411,0
412,4
413,5
414,5
415,1
416,1
417,4
418,5
419,1
420,4
421,3
422,7
423,11
424,2
425,16
426,5
427,5
428,4
429,3
430,7
431,1
432,3
433,16
434,3
435,3
436,5
437,8
438,10
439,3
440,1
441,3
442,2
443,2
444,4
445,1
446,0
447,5
448,2
449,3
450,7
451,2
452,7
453,4
454,2
455,1
456,0
457,11
458,1
459,5
460,3
461,3
462,3
463,1
464,4
465,5
466,2
467,5
468,6
469,2
470,1
471,2
472,5
473,4
474,1
475,6
476,1
477,1
478,2
479,3
480,3
481,2
482,2
483,1
484,0
485,1
486,2
487,1
488,2
489,5
490,3
491,0
492,3
493,3
494,0
495,2
496,0
497,0
498,5
499,2
500,23
501,1
502,2
503,2
504,3
505,3
506,0
507,1
508,12
509,2
510,5
511,2
512,1
513,1
514,5
515,2
516,1
517,2
518,3
519,2
520,3
521,8
522,3
523,3
524,5
525,149
